Missions_Leader_Directives,,,,,,,,,,,
,,,,,,,,,,,
MissionId,LeaderType,MissionCategory,Tier,MissionName,Trigger,ObjectiveTemplate,LocationRule,RequiredSystems,RewardDesign,FailurePressure,ImplementationNotes
LD_MINER_002,Miner Leader,Leader Directive,T0,Light the Face,Mining node has LightFactor penalty.,Place {Count:2-4} lamps/markers and mine for {Minutes:10-20} without darkness penalty.,Cave/mining face.,Stone Pile / Scrap Heap / Ore Bins,Strict Lamps training; reduced mistake chance in lit mines.,Mine injuries/dropped output.,Teaches safety infrastructure.
LD_MINER_003,Miner Leader,Leader Directive,T1,Shore the Mouth,CaveInRisk exceeds threshold.,Deliver supports and build {Count:2-6} shoring pieces before deeper mining.,Cave mouth / mine POI.,Stone Pile / Scrap Heap / Ore Bins,CaveInRisk - mission scalar; +LeadershipXP.,Cave-in event can injure miners.,No ore reward; keeps miners alive.
LD_MINER_004,Miner Leader,Leader Directive,T1,Ore Sorting Lesson,Recipes blocked by wrong ore bins.,"Collect {Count:3-6} ore samples, sort into tiered bins, and label with Research.",Mine + base depot.,Stone Pile / Scrap Heap / Ore Bins,Ore Sorting aura eligible; UI bin tags unlocked.,Ore wasted in wrong recipes.,May co-trigger with Research.
LD_MINER_005,Miner Leader,Leader Directive,T1,Dust Masks First,Long mine shifts create condition risk.,Craft/repair {Count:2-5} masks or hazard wraps and equip miners.,Base workshop/medical.,Stone Pile / Scrap Heap / Ore Bins,Condition 'Dust Lungs' risk reduced; +MR[Miner].,Fatigue and condition triggers rise.,Human-safe work before output.
LD_MINER_006,Miner Leader,Leader Directive,T2,Quiet Picks,Noise attracts predators/faction scouts near mines.,Extract {Count:8-16} ore with noise below threshold; optional escort.,Mine route.,Stone Pile / Scrap Heap / Ore Bins,Quiet Picks aura eligible; NoiseRadius down for mine work.,Predator or raid scouting risk rises.,Use player stealth feedback.
LD_MINER_007,Miner Leader,Leader Directive,T2,Rare Vein Claim,High-tier recipe asks for rare ore.,"Locate {POI:MineNode_RarePlaceholder}, place claim marker, mine initial batch, and return with escort.",Deep biome / cave placeholder.,Stone Pile / Scrap Heap / Ore Bins,Adds route marker and rare ore availability; no free stack.,Faction may contest node.,World state creates conflict.
LD_MINER_008,Miner Leader,Leader Directive,T2,Relay Dump Points,Trip time dominates mining output.,Build {Count:2-3} relay dump points between mine and base.,Route.,Stone Pile / Scrap Heap / Ore Bins,TripCount reduction for ore routes; leader logistics XP.,Throughput remains travel-bound.,Depot mechanics mission.
LD_MINER_009,Miner Leader,Leader Directive,T3,Collapsed Pocket,Cave-in or trapped survivor event.,"Clear rubble, stabilize air, and rescue trapped worker/captive.",Cave/wreck placeholder.,Stone Pile / Scrap Heap / Ore Bins,Permanent MI boost for rescued NPC; leader sheds Overcautious or Tunnel Panic if present.,Death or injury; morale loss.,Meaningful reward: person and trust.
LD_MINER_010,Miner Leader,Leader Directive,T3,Deep Air,ACCESS_AIR mine compartment detected.,Recover air filter parts and enable safe work in air-poor pocket.,Cave/EngineeringWreck/PowerModuleWreck.,Stone Pile / Scrap Heap / Ore Bins,Unlock deeper mining compartment; hazard gear recipe clue.,Unsafe access blocked or lethal.,Not random gear.
LD_MINER_011,Miner Leader,Leader Directive,T4,Ore War,Faction also targets valuable deposit.,"Choose negotiate, share route, sabotage claim, or defend mine.",Valuable node contested by faction.,Stone Pile / Scrap Heap / Ore Bins,Faction relation/camp ideology shift; possible trade access if negotiated.,Hostile outpost/raid escalation.,Moral compass hook.
LD_MINER_012,Miner Leader,Leader Directive,T5,Master Shoring Plan,"Miner leader high level, major mine established.","Run {Days:2-4} autonomous mining with supports, lamps, masks, dump points, and no injuries.",Established mine route.,Stone Pile / Scrap Heap / Ore Bins,Retire one miner leader condition; increase max safe work range.,Leader debuff persists.,Late mastery.
LD_HUNTER_001,Hunter / Scout Leader,Leader Directive,T0,Tracks Around Camp,Predator sign or unknown herd found.,"Follow tracks, mark route, and return without alerting pack.",Near camp perimeter.,Pantry / Hide Rack / Scout Board,Scout report system unlock; MR[Hunter]+4.,PredatorPressure rises unseen.,Teaches scouting without killing.
LD_HUNTER_002,Hunter / Scout Leader,Leader Directive,T0,"Clean Meat, Dirty Risk",First carcass/meat acquired.,"Harvest sample, deliver to Research, and cook only classified/safe portions.",Any hunt site.,Pantry / Hide Rack / Scout Board,Edibility chain progress; no magical food reward.,Food illness risk.,Hunter+Research co-op.
LD_HUNTER_003,Hunter / Scout Leader,Leader Directive,T1,The First Stalk,Food shortage but hunting unsafe.,Track and kill/capture {SpeciesPreyPlaceholder}; butcher with ToolFactor >= threshold.,Biome-valid prey spawn.,Pantry / Hide Rack / Scout Board,ButcherTime improvement; pantry morale +2.,Hunger pressure continues.,Reward is food from the world.
LD_HUNTER_004,Hunter / Scout Leader,Leader Directive,T1,Return Route,Meat spoils on long trips.,Mark a cold return path or build a field cache; deliver meat under spoil threshold.,Hunt route.,Pantry / Hide Rack / Scout Board,SpoilTransit reduction; map route marker.,Food waste remains high.,Physical-route reward.
LD_HUNTER_005,Hunter / Scout Leader,Leader Directive,T1,Trap Line,Ammo scarce.,Set {Count:2-5} traps using local bait and check them after interval.,Biome route.,Pantry / Hide Rack / Scout Board,Trapcraft aura eligible; reduces ammo reliance.,No passive meat buffer.,Slow but systemic.
LD_HUNTER_006,Hunter / Scout Leader,Leader Directive,T2,A Thing With Too Many Legs,New predator encountered.,"Observe, survive, retrieve sample/claw/venom, and update codex.",Predator territory placeholder.,Pantry / Hide Rack / Scout Board,Predator codex state; military/hunter tactics unlocked.,Ambush risk persists.,Not every predator must be killed.
LD_HUNTER_007,Hunter / Scout Leader,Leader Directive,T2,Herd Without Panic,Mount/herd discovered.,"Approach herd, mark juvenile/injured candidates, avoid panic over threshold.",Biome-valid herd route.,Pantry / Hide Rack / Scout Board,Mount capture chain unlock; +Hunter/Farmer affinity.,Herd migrates/flees.,Sets up husbandry.
LD_HUNTER_008,Hunter / Scout Leader,Leader Directive,T2,The Bad Shot,Hunter leader has Spooked/Bad Read condition.,Complete a low-risk hunt with no wasted shots and no alert chain.,Known prey route.,Pantry / Hide Rack / Scout Board,Condition magnitude reduced; AimStability trust restored.,Condition persists.,Debuff healing mission.
LD_HUNTER_009,Hunter / Scout Leader,Leader Directive,T3,Night Eyes,Night raids/predators increasing.,"Scout at night, place {Count:3-6} watch markers, return with route intel.",High-risk perimeter.,Pantry / Hide Rack / Scout Board,NightPredatorAggro telemetry; Military watchpost suggestions.,Night attacks surprise base.,Hunter feeds defense.
LD_HUNTER_010,Hunter / Scout Leader,Leader Directive,T3,Alpha Cutoff,Predator pack threatens pens/pantry.,"Identify pack path and choose: kill alpha, lure away, burn scent trail, or fortify pens.",Predator route near base.,Pantry / Hide Rack / Scout Board,PredatorPressure local reduction; leader morale boost.,Livestock/food losses.,Multiple solution mission.
LD_HUNTER_011,Hunter / Scout Leader,Leader Directive,T4,The Far Migration,Food ecology shifts after scarcity.,Track migrating herd to new basin and update map.,Deep biome transition route.,Pantry / Hide Rack / Scout Board,New hunting grounds and trade route; no instant meat.,Old hunting zone depleted.,Long-form ecology.
LD_HUNTER_012,Hunter / Scout Leader,Leader Directive,T5,Master Scout Report,Hunter leader high level.,"Deliver complete report: POI, predator, herd, water, and route risk for one depth band.",Any unexplored depth band.,Pantry / Hide Rack / Scout Board,"Retire one hunter condition; reveal one high-confidence POI cluster, not exact loot.",Leader remains limited.,Late-game knowledge reward.
LD_FARMER_001,Farmer / Husbandry Leader,Leader Directive,T0,Hands Off the Unknown,Unknown plant enters pantry or plot.,Move unknown flora to quarantine storage and prevent accidental cooking/planting.,Base pantry/plots.,Quarantine Plots / Production Plots / Pens,Quarantine plot task unlock; +MR[Farmer].,Contamination/illness risk.,Safety before yield.
LD_FARMER_002,Farmer / Husbandry Leader,Leader Directive,T0,First Production Plot,Safe crop/earth crop available.,"Build production plot, plant {Count:4-12} safe starts, and water through first tick.",Base farm zone.,Quarantine Plots / Production Plots / Pens,Stable calorie schedule; MI farmer boost.,Hunger spiral persists.,"Food is grown, not gifted."
LD_FARMER_003,Farmer / Husbandry Leader,Leader Directive,T1,Dirty Tools,CrossContamExposure rises.,"Clean/replace tools, separate native and EarthCrop handling, and lower FarmerCrossContamScore.",Farm + wash station.,Quarantine Plots / Production Plots / Pens,CropMutationPressure visible; contamination risk down.,Earth crops can mutate.,Cross-contam system mission.
LD_FARMER_004,Farmer / Husbandry Leader,Leader Directive,T1,The Water Fit Problem,Low WaterFitFactor reduces yield.,Improve water source or route filtered water to plots.,Water source / farm.,Quarantine Plots / Production Plots / Pens,WaterFitFactor boost for plots; MR[Farmer]+2.,Yields remain bad.,Uses water logistics.
LD_FARMER_005,Farmer / Husbandry Leader,Leader Directive,T1,Feed Before Riding,Contained animal/mount underfed.,Harvest/craft classified-safe fodder and fill troughs for {Days:1-3}.,Pens/fields.,Quarantine Plots / Production Plots / Pens,FeedQualityFactor stable; taming can proceed.,Stress and tame failure rises.,Husbandry bridge.
LD_FARMER_006,Farmer / Husbandry Leader,Leader Directive,T2,Sick Pen,Animal sickness/parasite risk.,"Move animal to quarantine, clean waste, treat, and prevent predator scent spike.",QuarantinePen_T1.,Quarantine Plots / Production Plots / Pens,LivestockSanitationFactor restored; Medical/Farmer XP.,PredatorPressure and sickness spread.,Consequences are real.
LD_FARMER_007,Farmer / Husbandry Leader,Leader Directive,T2,Seed Ledger,Seed stockpile low or crop diversity poor.,Collect {Count:3-6} plant samples/seeds across biome tags and classify before planting.,Biome-specific flora placeholders.,Quarantine Plots / Production Plots / Pens,Seed catalog expands; farm resilience.,Food dependence remains narrow.,POI/location flexible.
LD_FARMER_008,Farmer / Husbandry Leader,Leader Directive,T2,The Mutated Row,EarthCropBaseState becomes Contaminated.,Cull or isolate contaminated row; choose preserve for research or burn order.,Farm plot.,Quarantine Plots / Production Plots / Pens,Prevents full field mutation; research option opens toxic cultivar study.,Mutation spreads.,Morally ambiguous science option.
LD_FARMER_009,Farmer / Husbandry Leader,Leader Directive,T3,Predator-Proof Pens,Livestock value attracts attacks.,"Build pen walls, lights, waste pit, and watch path.",Pens/base perimeter.,Quarantine Plots / Production Plots / Pens,LV contribution reduced; +MR Husbandry.,Predator raids target animals.,Infrastructure reward.
LD_FARMER_010,Farmer / Husbandry Leader,Leader Directive,T3,Dry Day Rationing,Drought/water scarcity event.,Set ration schedule and keep crops alive for {Days:2-4}.,Farm/water stores.,Quarantine Plots / Production Plots / Pens,Ration Calendar aura eligible; MG if no starvation.,Crop losses/hunger.,Civic tie-in.
LD_FARMER_011,Farmer / Husbandry Leader,Leader Directive,T4,The Seed Vault,Food stability needed for ending path.,"Build protected seed vault and store safe crop, native crop, and emergency Earth crop starts.",Base interior/claimed site.,Quarantine Plots / Production Plots / Pens,Settlement ending prerequisite; long-term morale.,Food collapse risk persists.,Strategic reward.
LD_FARMER_012,Farmer / Husbandry Leader,Leader Directive,T5,Master of Seasons,Farmer leader high level.,"Complete full cycle: quarantine, classify, plant, harvest, preserve, and feed livestock without contamination.",Base farms/pens.,Quarantine Plots / Production Plots / Pens,Retire one farmer condition; permanent +small yield reliability.,Debuff persists.,Late mastery.
LD_ENGINEER_001,Engineer Leader,Leader Directive,T0,Repair Debt Is Not A Vibe,RepairDebt above threshold.,Repair {HP:100-400} structure HP and remove {Debt:50-200} repair debt using correct materials.,Base structures.,Construction Depot / Workshop / Power Grid,RepairDebtRemoved scaling demonstrated; +Engineer MR.,Decay accelerates morale loss.,User specifically wanted engineer missions.
LD_ENGINEER_002,Engineer Leader,Leader Directive,T0,"Fasteners, Not Wishes",Build/crafting queue lacks hardware.,Collect/craft {Count:10-30} nails/screws/brackets from scrap/ore chain.,Workshop/anvil.,Construction Depot / Workshop / Power Grid,Unblocks build chain; PartDefectChance telemetry.,Construction stalls.,"Collect X of Y mission, but grounded."
LD_ENGINEER_003,Engineer Leader,Leader Directive,T1,One Broken Link,Power or station chain broken.,Diagnose missing item/container/power in station pull radius and fix it.,Any stalled station.,Construction Depot / Workshop / Power Grid,Station diagnostic unlocked; leader awareness XP.,Workers idle.,Teaches explainability.
LD_ENGINEER_004,Engineer Leader,Leader Directive,T1,Construction Depot Discipline,Large build planned.,"Place ConstructionDepotId, fill with exact inputs, and complete build without deep-storage pulling.",Base expansion site.,Construction Depot / Workshop / Power Grid,BuildRate reliability; reduced hauling confusion.,Build stalls/haulers thrash.,Physical layout reward.
LD_ENGINEER_005,Engineer Leader,Leader Directive,T1,Bottle Soft-Lock Fix,Recipe chain blocked by missing bottle/container.,Recover or craft fail-safe bottle path using clay/glass substitute.,Kiln/galley/chem path.,Construction Depot / Workshop / Power Grid,Soft-lock removed in save; recipe fallback displayed.,Chem/med recipes stall.,Patch-aware mission.
LD_ENGINEER_006,Engineer Leader,Leader Directive,T2,Grid Flicker,PowerQualityFactor below threshold.,"Inspect generator, wire, battery, and powered station; replace failing component.",Power yard.,Construction Depot / Workshop / Power Grid,PowerQualityFactor improves; electronics chain reliable.,Station failures and spoilage.,No free battery reward.
LD_ENGINEER_007,Engineer Leader,Leader Directive,T2,Wall Weakness Report,Engineer warns north/south/etc. wall poor.,"Reinforce weak segment, add light, and place repair cache nearby.",Base perimeter.,Construction Depot / Workshop / Power Grid,BaseRisk reduction; MG +3 if before raid.,Raid breach risk.,Good leader diagnostic quest.
LD_ENGINEER_008,Engineer Leader,Leader Directive,T2,Machine Bench Accuracy,Machining recipes produce defects.,Improve ToolFactor/FacilityFactor with grinder/machine bench maintenance and calibration part.,Workshop.,Construction Depot / Workshop / Power Grid,PartDefectChance down; unlock precision recipe confidence.,Waste continues.,Manufacturing quality reward.
LD_ENGINEER_009,Engineer Leader,Leader Directive,T3,Overbuilt and Brittle,Powered base complexity debt rises.,"Create maintenance schedule, spare parts buffer, and shutoff priority list.",Base systems.,Construction Depot / Workshop / Power Grid,Power failure cascade risk reduced; leader condition chance down.,Blackout cascade.,Systems-design mission.
LD_ENGINEER_010,Engineer Leader,Leader Directive,T3,Bridge the Bulk,Bulk item route bottleneck.,Build sled/cart/route marker or assign porter for {RouteId}.,Long-haul route.,Construction Depot / Workshop / Power Grid,CaravanRouteId unlocked for this route.,Manual hauling burden remains.,Porter/mount logistics bridge.
LD_ENGINEER_011,Engineer Leader,Leader Directive,T4,Claimed Site Maintenance,Player claims forward Remnant/faction site.,"Install minimal depot, power isolation, and maintenance kit at claimed site.",ClaimedByPlayer site.,Construction Depot / Workshop / Power Grid,Site remains functional; becomes staged forward node.,Site decays/reclaimed/raided.,Claiming has costs.
LD_ENGINEER_012,Engineer Leader,Leader Directive,T5,Master Engineer Review,Engineer leader high level.,"Resolve five active warnings without new debt: wall, station, power, route, repair cache.",Base-wide.,Construction Depot / Workshop / Power Grid,Retire one engineer condition; unlock advanced diagnostic view.,Debuff persists.,Late mastery.
LD_RESEARCH_001,Research Leader,Leader Directive,T0,Label the Unknown,Unknown item enters inventory/pantry.,Deliver {Count:3-6} unknown samples to research and assign safe storage tags.,Base lab/pantry.,Research Bench / Lab / Codex,Codex progression; +Research MR.,Misuse causes illness/waste.,"Research is work, not menu buying."
LD_RESEARCH_002,Research Leader,Leader Directive,T0,The First Stall,StageProgress stalls from missing requirement.,Collect {Count:1-3} of {MissingSampleTag} from biome/POI placeholder.,Any matching biome/POI; fallback to rumor lead.,Research Bench / Lab / Codex,Stall resolved; IssueEscalationScore reset.,Project idle; leader complains later.,Canonical stall quest.
LD_RESEARCH_003,Research Leader,Leader Directive,T1,Water Is Lying,Water safety uncertain.,"Test raw, boiled, and filtered water samples from two sources.",Base/water sources.,Research Bench / Lab / Codex,Water safety protocol; illness risk down.,Sickness chain.,
LD_RESEARCH_004,Research Leader,Leader Directive,T1,Micro Study: Felling Rhythm,Woodcut micro-research available.,Collect timing notes and {Count:4-8} log samples; complete small research project.,Log Yard + Research bench.,Research Bench / Lab / Codex,Cutting speed +5% style micro buff; stacks multiplicatively.,No buff.,
LD_RESEARCH_005,Research Leader,Leader Directive,T1,Micro Study: Clean Stitch,Medical/tailoring micro available.,"Collect cloth, sinew, and injury outcome notes.",Med/tailor station.,Research Bench / Lab / Codex,Bandage/treatment time small reduction.,Treatment remains baseline.,
LD_RESEARCH_006,Research Leader,Leader Directive,T1,Unsafe Meat Ledger,Hunter brings new meat.,Compare raw/cooked risk and parasite check with sample set.,Lab/kitchen.,Research Bench / Lab / Codex,Food risk classification; pantry auto-sort.,Food poisoning risk.,
LD_RESEARCH_007,Research Leader,Leader Directive,T2,Protocol Gap,ResearchProtocolLevel too low for crop/animal task.,"Complete {Count:2-4} protocol subtasks: sample, observation, controlled test, field note.",Lab + field.,Research Bench / Lab / Codex,Protocol level XP; unlock relevant safe handling.,Contam risk persists.,
LD_RESEARCH_008,Research Leader,Leader Directive,T2,Optics Bench Theory,Advanced optics recipe locked.,Recover lens/sensor reference component from AvionicsWreck or Relay Bastion.,POI placeholder.,Research Bench / Lab / Codex,Unlock optics research chain if component delivered.,Optics recipes stall.,
LD_RESEARCH_009,Research Leader,Leader Directive,T2,Remnant Warm Reading,First Warm site found.,Observe site state changes without forcing Overclock; return logs.,Remnant site exterior.,Research Bench / Lab / Codex,D trigger knowledge; safer future entry.,Site escalation misunderstood.,
LD_RESEARCH_010,Research Leader,Leader Directive,T2,Contaminated Crop Study,CropMutationPressure rising.,Analyze contaminated crop sample while preventing spread.,Quarantine plot/lab.,Research Bench / Lab / Codex,Can choose burn protocol or research cultivar.,Field mutation spreads.,
LD_RESEARCH_011,Research Leader,Leader Directive,T3,The Thing In The Circuit,Remnant module causes power anomalies.,"Collect readings from powered station, module, and isolated battery.",Base power + module.,Research Bench / Lab / Codex,Safe integration threshold; PowerQualityFactor penalty understood.,Grid instability.,
LD_RESEARCH_012,Research Leader,Leader Directive,T3,Antibiotic Substitute,Medical stores low.,Research local substitute using classified flora and medbay reference.,MedBayWreck/flora biome.,Research Bench / Lab / Codex,Local med recipe unlocked if safe; not a free med stack.,Infection treatment limited.,
LD_RESEARCH_013,Research Leader,Leader Directive,T3,Faction Tech Provenance,Faction offers trade/tech.,"Verify whether traded part is safe, sabotaged, or incompatible.",Faction camp/base lab.,Research Bench / Lab / Codex,Trust/spy detection; possible relation shift.,Sabotaged part can fail.,
LD_RESEARCH_014,Research Leader,Leader Directive,T4,Core Interface Ethics,Remnant core recovered.,"Choose research protocol: cautious, aggressive, or sealed storage.",Base lab/remnant station.,Research Bench / Lab / Codex,Tech path modifier; leader moral compass reaction.,D volatility/slow progress.,
LD_RESEARCH_015,Research Leader,Leader Directive,T4,The Capital Pattern,Multiple intel fragments collected.,"Assemble pattern from terminal logs, patrol routes, and site wake states.",Cartography + lab.,Research Bench / Lab / Codex,Capital search region narrowed.,Enemy remains vague.,
LD_RESEARCH_016,Research Leader,Leader Directive,T5,Master Classification Archive,Research leader high level.,"Complete full archive: 5 flora, 3 fauna, 2 materials, 1 Remnant system classified.",Lab/codex.,Research Bench / Lab / Codex,Retire one research leader condition; codex bonus.,Debuff persists.,
LD_MILITARY_001,Military Leader,Leader Directive,T0,Count The Guns,Raid risk or first firearm.,"Audit weapons, ammo, racks, and reachable militia kits.",Armory/base interior.,Armory / Patrol Posts / Watch Positions,Armory access map; +MR[Military].,Civilians fail to arm.,No magic arming.
LD_MILITARY_002,Military Leader,Leader Directive,T0,Cover Is A Tool,Patrol posts missing.,Build/mark {Count:2-5} cover positions and assign defenders.,Base perimeter.,Armory / Patrol Posts / Watch Positions,DEFEND behavior improves; casualty risk down.,Raid casualties higher.,
LD_MILITARY_003,Military Leader,Leader Directive,T1,Drill Without Panic,Civilians likely HIDE/FLEE.,Run militia drill using unloaded/low-tier kit and safe-room route.,Base safe room/armory.,Armory / Patrol Posts / Watch Positions,Civilian DEFEND threshold improves modestly; +MG if no injuries.,Panic in real raid.,
LD_MILITARY_004,Military Leader,Leader Directive,T1,Ammo Discipline,Ammo waste high.,Complete controlled defense/hunt drill using max {Rounds} rounds.,Range/perimeter.,Armory / Patrol Posts / Watch Positions,AmmoWaste reduction; Military leader XP.,Ammo shortages.,
LD_MILITARY_005,Military Leader,Leader Directive,T1,Patrol Gap,BaseRisk due route gap.,"Assign patrol route, place lights/signals, and run {Hours:12-24} coverage.",Base/route.,Armory / Patrol Posts / Watch Positions,PatrolCoverage boost; early warning improves.,Ambush/raid chance.,
LD_MILITARY_006,Military Leader,Leader Directive,T2,The Breach Rehearsal,Weak wall or prior raid loss.,"Simulate breach response: defenders to chokepoint, civilians hide, med triage ready.",Base.,Armory / Patrol Posts / Watch Positions,Raid response state timing improved; MG boost.,Chaos on breach.,
LD_MILITARY_007,Military Leader,Leader Directive,T2,Escort The Work,Worker route crosses danger.,Escort wood/mining/hunt team for one production cycle without casualty.,Any risky route.,Armory / Patrol Posts / Watch Positions,Worker leader MR boost; Military XP.,Workers refuse route.,
LD_MILITARY_008,Military Leader,Leader Directive,T2,Take The Cache Or Burn It,Enemy armory cache found.,"Choose capture, sabotage, or trade intel to ally.",Faction/POI Armory Cache.,Armory / Patrol Posts / Watch Positions,Outcome changes enemy raid kit and faction relation; captured items come from visible cache.,Enemy keeps arming raids.,
LD_MILITARY_009,Military Leader,Leader Directive,T3,Counter-Raid Readiness,Enemy faction scouting player.,"Intercept scout or feed false route, then prepare defense.",Perimeter/faction route.,Armory / Patrol Posts / Watch Positions,Raid timing revealed/shifted; no free gear.,Raid surprise remains.,
LD_MILITARY_010,Military Leader,Leader Directive,T3,Prisoner Protocol,Captive/defector encountered.,"Secure, question, treat, or release captive under camp policy.",Occupied site/base.,Armory / Patrol Posts / Watch Positions,Intel/recruitment/morale compass result.,Faction retaliation/morale hit.,
LD_MILITARY_011,Military Leader,Leader Directive,T4,Commander Duel,Enemy experienced leader identified.,"Neutralize, capture, turn, or discredit commander during site operation.",Occupied site/capital satellite.,Armory / Patrol Posts / Watch Positions,Enemy raid coordination drops; possible leader recruit if moral alignment allows.,Commander leads stronger raids.,
LD_MILITARY_012,Military Leader,Leader Directive,T5,Master Defense Review,Military leader high level.,"Run 3-day defense readiness: racks, ammo, patrols, safe rooms, lights, med route.",Base-wide.,Armory / Patrol Posts / Watch Positions,Retire one military condition; BaseRisk floor reduced.,Debuff persists.,
LD_LOGISTICS_001,Quartermaster / Logistics Leader,Leader Directive,T0,Where Did You Put It,Items in random containers blocking work.,Move {Count:10-30} mixed items into correct depot/storage categories.,Base storage.,Depots / Routes / Deep Storage,PullPriority clarity; +MR[Logistics].,Stations remain blocked.,
