Canonical Micro-Research Catalog v1.1,,,,,,,,,
Category,MicroResearchId,Family,TierPercent,DisplayName,Effect,Cost,Prereq,Repeatable,SourceCorrection
Woodcutting,MR_WOODCUTTING_EDGE_MAINTENANCE_10,Edge Maintenance,10,Edge Maintenance (10%),+10% axe durability.,Clear Grit ×2; Solder Wire Spool ×1; Terminal Block ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_FELLING_RHYTHM_10,Felling Rhythm,10,Felling Rhythm (10%),+10% log cutting speed.,Scrap Metal ×2; Solder Wire Spool ×1; Fastener Set ×1,Woodcutting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_LOG_SLING_10,Log Sling,10,Log Sling (10%),-10% stamina drain while carrying logs.,Fiber Bundle ×2; Fastener Set ×1; Solder Wire Spool ×1,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_QUIET_CHOP_10,Quiet Chop,10,Quiet Chop (10%),-10% chopping noise radius (safer harvesting).,Flux Pebble ×2; Ceramic Tile ×2; Plate Panel ×1,Woodcutting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_BARK_SAFE_CUTS_12,Bark-Safe Cuts,12,Bark-Safe Cuts (12%),+12% bark recovery from felled trees.,Terminal Block ×1; Fastener Set ×1; Data Core ×1,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_EDGE_MAINTENANCE_12,Edge Maintenance,12,Edge Maintenance (12%),+12% axe durability.,Sealant Tube ×1; Ceramic Tile ×2; Capacitor Bank ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_FELLING_RHYTHM_12,Felling Rhythm,12,Felling Rhythm (12%),+12% log cutting speed.,Sealant Tube ×1; Solder Wire Spool ×1; Heatsink Block ×1,Woodcutting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_LOG_SLING_12,Log Sling,12,Log Sling (12%),-12% stamina drain while carrying logs.,Plate Panel ×1; Sealant Tube ×1; Tempered Glass Sheet ×1,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_QUIET_CHOP_12,Quiet Chop,12,Quiet Chop (12%),-12% chopping noise radius (safer harvesting).,Sealant Tube ×1; Fastener Set ×1; Data Core ×1,Woodcutting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_BARK_SAFE_CUTS_15,Bark-Safe Cuts,15,Bark-Safe Cuts (15%),+15% bark recovery from felled trees.,Heatsink Block ×1; Capacitor Bank ×1; Proof Token ×1,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_EDGE_MAINTENANCE_15,Edge Maintenance,15,Edge Maintenance (15%),+15% axe durability.,Capacitor Bank ×1; Data Core ×1; Proof Token ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_FELLING_RHYTHM_15,Felling Rhythm,15,Felling Rhythm (15%),+15% log cutting speed.,Data Core ×1; Capacitor Bank ×1; Proof Token ×1,Woodcutting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_LOG_SLING_15,Log Sling,15,Log Sling (15%),-15% stamina drain while carrying logs.,Capacitor Bank ×3; Heatsink Block ×1,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_QUIET_CHOP_15,Quiet Chop,15,Quiet Chop (15%),-15% chopping noise radius (safer harvesting).,Heatsink Block ×1; Data Core ×1; Blackglass Plate ×1,Woodcutting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_CHIP_SORTING_5,Chip Sorting,5,Chip Sorting (5%),+5% chance to extract a bonus ore chip.,Binding Rope ×1; Fiber Bundle ×2,Mining Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_CHIP_SORTING_7,Chip Sorting,7,Chip Sorting (7%),+7% chance to extract a bonus ore chip.,Clear Grit ×2; Charcoal Chunk ×1,Mining Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_DUST_MASK_DISCIPLINE_5,Dust Mask Discipline,5,Dust Mask Discipline (5%),-5% stamina drain in dusty areas.,Charcoal Chunk ×1; Fiber Bundle ×2,Mining Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_DUST_MASK_DISCIPLINE_7,Dust Mask Discipline,7,Dust Mask Discipline (7%),-7% stamina drain in dusty areas.,Clear Grit ×2; Charcoal Chunk ×1,Mining Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_PICK_ANGLE_DRILL_5,Pick Angle Drill,5,Pick Angle Drill (5%),+5% pickaxe durability.,Charcoal Chunk ×1; Binding Rope ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_PICK_ANGLE_DRILL_7,Pick Angle Drill,7,Pick Angle Drill (7%),+7% pickaxe durability.,Scrap Metal ×2; Clear Grit ×2,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_SHORING_HABIT_5,Shoring Habit,5,Shoring Habit (5%),-5% cave-in risk while mining.,Flux Pebble ×2; Clear Grit ×2,Mining Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_SHORING_HABIT_7,Shoring Habit,7,Shoring Habit (7%),-7% cave-in risk while mining.,Scrap Metal ×2; Charcoal Chunk ×1,Mining Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_VEIN_READING_5,Vein Reading,5,Vein Reading (5%),+5% mining speed on ore nodes.,Flux Pebble ×2; Binding Rope ×1,Mining Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_VEIN_READING_7,Vein Reading,7,Vein Reading (7%),+7% mining speed on ore nodes.,Flux Pebble ×2; Clear Grit ×2,Mining Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_CHIP_SORTING_10,Chip Sorting,10,Chip Sorting (10%),+10% chance to extract a bonus ore chip.,Scrap Metal ×2; Ceramic Tile ×2; Fastener Set ×1,Mining Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_DUST_MASK_DISCIPLINE_10,Dust Mask Discipline,10,Dust Mask Discipline (10%),-10% stamina drain in dusty areas.,Clear Grit ×2; Fastener Set ×1; Plate Panel ×1,Mining Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_PICK_ANGLE_DRILL_10,Pick Angle Drill,10,Pick Angle Drill (10%),+10% pickaxe durability.,Binding Rope ×1; Plate Panel ×1; Solder Wire Spool ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_SHORING_HABIT_10,Shoring Habit,10,Shoring Habit (10%),-10% cave-in risk while mining.,Binding Rope ×1; Terminal Block ×1; Fastener Set ×1,Mining Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_VEIN_READING_10,Vein Reading,10,Vein Reading (10%),+10% mining speed on ore nodes.,Binding Rope ×1; Ceramic Tile ×2; Terminal Block ×1,Mining Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_CHIP_SORTING_12,Chip Sorting,12,Chip Sorting (12%),+12% chance to extract a bonus ore chip.,Solder Wire Spool ×1; Ceramic Tile ×2; Optic Lens ×1,Mining Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_DUST_MASK_DISCIPLINE_12,Dust Mask Discipline,12,Dust Mask Discipline (12%),-12% stamina drain in dusty areas.,Terminal Block ×1; Ceramic Tile ×2; Data Core ×1,Mining Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_PICK_ANGLE_DRILL_12,Pick Angle Drill,12,Pick Angle Drill (12%),+12% pickaxe durability.,Fastener Set ×1; Terminal Block ×1; Heatsink Block ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_SHORING_HABIT_12,Shoring Habit,12,Shoring Habit (12%),-12% cave-in risk while mining.,Fastener Set ×1; Sealant Tube ×1; Data Core ×1,Mining Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_VEIN_READING_12,Vein Reading,12,Vein Reading (12%),+12% mining speed on ore nodes.,Sealant Tube ×1; Solder Wire Spool ×1; Heatsink Block ×1,Mining Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_CHIP_SORTING_15,Chip Sorting,15,Chip Sorting (15%),+15% chance to extract a bonus ore chip.,Optic Lens ×1; Data Core ×3,Mining Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_DUST_MASK_DISCIPLINE_15,Dust Mask Discipline,15,Dust Mask Discipline (15%),-15% stamina drain in dusty areas.,Optic Lens ×1; Capacitor Bank ×1; Data Core ×2,Mining Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_PICK_ANGLE_DRILL_15,Pick Angle Drill,15,Pick Angle Drill (15%),+15% pickaxe durability.,Capacitor Bank ×1; Optic Lens ×1; Blackglass Plate ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_SHORING_HABIT_15,Shoring Habit,15,Shoring Habit (15%),-15% cave-in risk while mining.,Tempered Glass Sheet ×1; Optic Lens ×1; Data Core ×2,Mining Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Mining,MR_MINING_VEIN_READING_15,Vein Reading,15,Vein Reading (15%),+15% mining speed on ore nodes.,Heatsink Block ×1; Tempered Glass Sheet ×1; Blackglass Plate ×1,Mining Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_BREATH_CONTROL_5,Breath Control,5,Breath Control (5%),+5% ranged accuracy while standing still.,Flux Pebble ×2; Binding Rope ×1,Hunting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_BREATH_CONTROL_7,Breath Control,7,Breath Control (7%),+7% ranged accuracy while standing still.,Charcoal Chunk ×1; Clear Grit ×2,Hunting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_COLD_HANDS_WARMUP_5,Cold Hands Warmup,5,Cold Hands Warmup (5%),-5% weapon sway in cold biomes.,Scrap Metal ×2; Flux Pebble ×2,Hunting Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_COLD_HANDS_WARMUP_7,Cold Hands Warmup,7,Cold Hands Warmup (7%),-7% weapon sway in cold biomes.,Fiber Bundle ×2; Flux Pebble ×2,Hunting Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_FIELD_DRESSING_5,Field Dressing,5,Field Dressing (5%),+5% meat recovery from animals.,Fiber Bundle ×2; Flux Pebble ×2,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_FIELD_DRESSING_7,Field Dressing,7,Field Dressing (7%),+7% meat recovery from animals.,Flux Pebble ×2; Scrap Metal ×2,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_HIDE_SAFE_CUTS_5,Hide-Safe Cuts,5,Hide-Safe Cuts (5%),+5% hide recovery from animals.,Charcoal Chunk ×1; Clear Grit ×2,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_HIDE_SAFE_CUTS_7,Hide-Safe Cuts,7,Hide-Safe Cuts (7%),+7% hide recovery from animals.,Scrap Metal ×2; Fiber Bundle ×2,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_QUIET_FOOTFALLS_5,Quiet Footfalls,5,Quiet Footfalls (5%),-5% detection chance while stalking.,Charcoal Chunk ×1; Fiber Bundle ×2,Hunting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_QUIET_FOOTFALLS_7,Quiet Footfalls,7,Quiet Footfalls (7%),-7% detection chance while stalking.,Scrap Metal ×2; Clear Grit ×2,Hunting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_BREATH_CONTROL_10,Breath Control,10,Breath Control (10%),+10% ranged accuracy while standing still.,Binding Rope ×1; Ceramic Tile ×2; Terminal Block ×1,Hunting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_COLD_HANDS_WARMUP_10,Cold Hands Warmup,10,Cold Hands Warmup (10%),-10% weapon sway in cold biomes.,Scrap Metal ×2; Sealant Tube ×1; Solder Wire Spool ×1,Hunting Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_FIELD_DRESSING_10,Field Dressing,10,Field Dressing (10%),+10% meat recovery from animals.,Clear Grit ×2; Ceramic Tile ×2; Solder Wire Spool ×1,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_HIDE_SAFE_CUTS_10,Hide-Safe Cuts,10,Hide-Safe Cuts (10%),+10% hide recovery from animals.,Scrap Metal ×2; Plate Panel ×1; Terminal Block ×1,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_QUIET_FOOTFALLS_10,Quiet Footfalls,10,Quiet Footfalls (10%),-10% detection chance while stalking.,Flux Pebble ×2; Plate Panel ×1; Sealant Tube ×1,Hunting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_BREATH_CONTROL_12,Breath Control,12,Breath Control (12%),+12% ranged accuracy while standing still.,Plate Panel ×1; Ceramic Tile ×2; Heatsink Block ×1,Hunting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_COLD_HANDS_WARMUP_12,Cold Hands Warmup,12,Cold Hands Warmup (12%),-12% weapon sway in cold biomes.,Fastener Set ×1; Ceramic Tile ×2; Capacitor Bank ×1,Hunting Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_FIELD_DRESSING_12,Field Dressing,12,Field Dressing (12%),+12% meat recovery from animals.,Terminal Block ×1; Ceramic Tile ×2; Tempered Glass Sheet ×1,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_HIDE_SAFE_CUTS_12,Hide-Safe Cuts,12,Hide-Safe Cuts (12%),+12% hide recovery from animals.,Plate Panel ×1; Fastener Set ×1; Optic Lens ×1,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_QUIET_FOOTFALLS_12,Quiet Footfalls,12,Quiet Footfalls (12%),-12% detection chance while stalking.,Sealant Tube ×1; Fastener Set ×1; Capacitor Bank ×1,Hunting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_BREATH_CONTROL_15,Breath Control,15,Breath Control (15%),+15% ranged accuracy while standing still.,Capacitor Bank ×1; Data Core ×1; Blackglass Plate ×1,Hunting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_COLD_HANDS_WARMUP_15,Cold Hands Warmup,15,Cold Hands Warmup (15%),-15% weapon sway in cold biomes.,Data Core ×1; Tempered Glass Sheet ×1; Blackglass Plate ×1,Hunting Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_FIELD_DRESSING_15,Field Dressing,15,Field Dressing (15%),+15% meat recovery from animals.,Tempered Glass Sheet ×1; Heatsink Block ×1; Data Core ×2,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_HIDE_SAFE_CUTS_15,Hide-Safe Cuts,15,Hide-Safe Cuts (15%),+15% hide recovery from animals.,Data Core ×1; Heatsink Block ×1; Proof Token ×1,Hunting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Hunting,MR_HUNTING_QUIET_FOOTFALLS_15,Quiet Footfalls,15,Quiet Footfalls (15%),-15% detection chance while stalking.,Tempered Glass Sheet ×1; Optic Lens ×1; Capacitor Bank ×2,Hunting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_CLEAN_ROWS_5,Clean Rows,5,Clean Rows (5%),-5% contamination chance in plots.,Scrap Metal ×2; Fiber Bundle ×2,Farming Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_CLEAN_ROWS_7,Clean Rows,7,Clean Rows (7%),-7% contamination chance in plots.,Scrap Metal ×2; Binding Rope ×1,Farming Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_PEST_WATCHING_5,Pest Watching,5,Pest Watching (5%),+5% yield stability during bad weather.,Fiber Bundle ×2; Flux Pebble ×2,Farming Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_PEST_WATCHING_7,Pest Watching,7,Pest Watching (7%),+7% yield stability during bad weather.,Flux Pebble ×2; Charcoal Chunk ×1,Farming Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SEED_PATIENCE_5,Seed Patience,5,Seed Patience (5%),+5% crop growth rate.,Charcoal Chunk ×1; Binding Rope ×1,Farming Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SEED_PATIENCE_7,Seed Patience,7,Seed Patience (7%),+7% crop growth rate.,Binding Rope ×1; Flux Pebble ×2,Farming Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SOIL_HEAT_TRICKS_5,Soil Heat Tricks,5,Soil Heat Tricks (5%),+5% growth rate in cold basins.,Flux Pebble ×2; Clear Grit ×2,Farming Skill 5+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SOIL_HEAT_TRICKS_7,Soil Heat Tricks,7,Soil Heat Tricks (7%),+7% growth rate in cold basins.,Binding Rope ×1; Scrap Metal ×2,Farming Skill 5+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_WATER_TIMING_5,Water Timing,5,Water Timing (5%),-5% water used per harvest cycle.,Fiber Bundle ×2; Flux Pebble ×2,Farming Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_WATER_TIMING_7,Water Timing,7,Water Timing (7%),-7% water used per harvest cycle.,Scrap Metal ×2; Flux Pebble ×2,Farming Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_CLEAN_ROWS_10,Clean Rows,10,Clean Rows (10%),-10% contamination chance in plots.,Charcoal Chunk ×1; Sealant Tube ×1; Terminal Block ×1,Farming Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_PEST_WATCHING_10,Pest Watching,10,Pest Watching (10%),+10% yield stability during bad weather.,Binding Rope ×1; Ceramic Tile ×2; Plate Panel ×1,Farming Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SEED_PATIENCE_10,Seed Patience,10,Seed Patience (10%),+10% crop growth rate.,Binding Rope ×1; Terminal Block ×1; Fastener Set ×1,Farming Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SOIL_HEAT_TRICKS_10,Soil Heat Tricks,10,Soil Heat Tricks (10%),+10% growth rate in cold basins.,Scrap Metal ×2; Sealant Tube ×1; Terminal Block ×1,Farming Skill 5+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_WATER_TIMING_10,Water Timing,10,Water Timing (10%),-10% water used per harvest cycle.,Binding Rope ×1; Ceramic Tile ×2; Fastener Set ×1,Farming Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_CLEAN_ROWS_12,Clean Rows,12,Clean Rows (12%),-12% contamination chance in plots.,Ceramic Tile ×2; Plate Panel ×1; Data Core ×1,Farming Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_PEST_WATCHING_12,Pest Watching,12,Pest Watching (12%),+12% yield stability during bad weather.,Solder Wire Spool ×1; Plate Panel ×1; Capacitor Bank ×1,Farming Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SEED_PATIENCE_12,Seed Patience,12,Seed Patience (12%),+12% crop growth rate.,Fastener Set ×1; Terminal Block ×1; Tempered Glass Sheet ×1,Farming Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SOIL_HEAT_TRICKS_12,Soil Heat Tricks,12,Soil Heat Tricks (12%),+12% growth rate in cold basins.,Sealant Tube ×1; Plate Panel ×1; Data Core ×1,Farming Skill 5+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_WATER_TIMING_12,Water Timing,12,Water Timing (12%),-12% water used per harvest cycle.,Ceramic Tile ×2; Sealant Tube ×1; Data Core ×1,Farming Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_CLEAN_ROWS_15,Clean Rows,15,Clean Rows (15%),-15% contamination chance in plots.,Heatsink Block ×1; Capacitor Bank ×3,Farming Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_PEST_WATCHING_15,Pest Watching,15,Pest Watching (15%),+15% yield stability during bad weather.,Tempered Glass Sheet ×1; Capacitor Bank ×1; Blackglass Plate ×1,Farming Skill 4+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Farming,MR_FARMING_SEED_PATIENCE_15,Seed Patience,15,Seed Patience (15%),+15% crop growth rate.,Tempered Glass Sheet ×1; Data Core ×1; Capacitor Bank ×2,Farming Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
