---,TechNodeId,DisplayName,Tier,Family,Prerequisites,RequiredReferenceComponentId,ResearchPointsRequired,UnlockedRecipeIds,Notes
TN_COMMS_T3,TN_COMMS_T3,Communications Tier 3,T3_Advanced,Electronics,TN_POWER_T2,,300,RCP_BEACON_ARRAY. Rescue ending path
TN_REMNANT_STUDY_T1,TN_REMNANT_STUDY_T1,Remnant Site Analysis,T1_Basic,Remnant,,,120,Unlock Remnant site codex. Wake trigger awareness
TN_REMNANT_INTERFACE_T2,TN_REMNANT_INTERFACE_T2,Remnant Interface Protocol,T2_Intermediate,Remnant,TN_REMNANT_STUDY_T1,,250,Enables site diagnostic protocol. Reduces wake escalation speed
TN_AGRICULTURE_T1,TN_AGRICULTURE_T1,Agriculture Tier 1,T1_Basic,Agriculture,TN_FOOD_BASICS,,100,"Enables farm plots, seed planting, crop mutation research"
TN_CARTOGRAPHY_T1,TN_CARTOGRAPHY_T1,Cartography,T1_Basic,Materials,TN_BASIC_TOOLING,,60,Unlocks Cartography Board station and POI rumor tracking
---,TN_METALWORK_T2,"""Metalwork Tier 2""",T2_Intermediate,Materials,TN_METALWORK_T1,,200,RC_WPN_BLACKGLASS_SWORD+RC_WPN_BLACKGLASS_AXE+RC_WPN_BLACKGLASS_SPEAR+RC_ARM_BLACKGLASS_HELM+RC_ARM_BLACKGLASS_CHEST+RC_ARM_BLACKGLASS_LEGS+RC_WPN_RIOT_SHIELD+RC_AMO_ARROW_ARMOR_PIERCING+RC_AMO_BOLT_ARMOR_PIERCING,Volcanic-glass edged weapons + riot shield + AP rounds.
---,TN_CHEMISTRY_T1,"""Chemistry Tier 1""",T1_Basic,Materials,TN_BASIC_TOOLING,,80,RC_AMO_ARROW_POISON+RC_AMO_ARROW_TRANQ+RC_AMO_ARROW_SMOKE,Toxin extraction + fungal sedative + aerosol arrows.
---,TN_ELECTRONICS_T1,"""Electronics Tier 1""",T1_Basic,Energy,TN_BASIC_TOOLING,,120,RC_AMO_ARROW_EMP+RC_AMO_ARROW_TRACKER+RC_WPN_SUNWIRE_SWORD+RC_WPN_SUNWIRE_AXE+RC_WPN_SUNWIRE_SPEAR+RC_ARM_SUNWIRE_HELM+RC_ARM_SUNWIRE_CHEST+RC_ARM_SUNWIRE_LEGS,Capacitor-based projectiles + sunwire alloys.
---,TN_CRYO_T2,"""Cryogenics Tier 2""",T2_Intermediate,Energy,TN_ELECTRONICS_T1,,200,RC_AMO_ARROW_CRYO+RC_WPN_FROSTSPARK_SWORD+RC_WPN_FROSTSPARK_AXE+RC_WPN_FROSTSPARK_SPEAR+RC_ARM_FROSTSPARK_HELM+RC_ARM_FROSTSPARK_CHEST+RC_ARM_FROSTSPARK_LEGS,Frostspark-crystal payloads + cryo armour.
---,TN_ENERGETICS_T2,"""Energetics Tier 2""",T2_Intermediate,Energy,TN_ELECTRONICS_T1,,250,RC_AMO_ARROW_EXPLOSIVE+RC_AMO_BOLT_EXPLOSIVE+RC_WPN_SPARKSTONE_SWORD+RC_WPN_SPARKSTONE_AXE+RC_WPN_SPARKSTONE_SPEAR+RC_ARM_SPARKSTONE_HELM+RC_ARM_SPARKSTONE_CHEST+RC_ARM_SPARKSTONE_LEGS,Sparkstone warheads + sparkstone armour set.
---,TN_DECRYPTION,"""Signal Decryption""",T2_Intermediate,Energy,TN_ELECTRONICS_T1,,220,RC_TOL_DECRYPT_SPIKE,Remnant-derived handshake spoofing. Unlocks the avionics wreck's decryption spike.
