Variable,Kind,Default / Example,What it does,Where it goes,Source
AmmoArmorPierceAdd,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
AmmoDamageMult,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
AmmoId,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
ArmorK,float,,Armor reduction curve constant used in buildable damage mitigation.,Damage mitigation (buildables),Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX
ArmorPierceEff,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
ArmorRating,scalar,,Baseline mitigation stat for buildable damage formulas.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
ArmorRed,float,,Computed damage reduction fraction for a hit (0..ArmorRedMax).,Damage mitigation (buildables),Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
ArmorRedMax,float,,Maximum damage reduction fraction attainable by armor curve.,Damage mitigation (buildables),Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX
ArmorRedScalar,scalar,,Scalar used in damage reduction calculation (per profile).,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
ArmorTier,int,,Armor band used to pick default mitigation profile.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
AS,scalar,,"DEPRECATED ALIAS (math shorthand) of AimStability.
Do not persist ""AS"" as a gameplay variable; use AimStability.
Example: AimStability = 0.50 + 0.05*DEX + 0.03*COM",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
AttachmentId,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
AttackStyle,unknown,,Example: AttackStyle = Lunge_Bind,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
B_depth,unknown,,"Example: B_depth = [0.00, 0.40]",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
B_depthMinMax,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
BuildHammerMaterialFilterEnabled,bool,true,Enable material filter (wood/stone/metal) in build piece picker.,UI / Build Mode,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
BuildHammerPiecePickerColumns,int,4,Columns in build-piece picker grid.,UI / Build Mode,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
BuildHammerPiecePickerMaxRows,int,4,Max rows in build-piece picker grid before paging/scroll.,UI / Build Mode,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
CODEX_CLASSIFIED,enum value,-,Fully classified; full codex details allowed.,UI / Codex,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
CODEX_OBSERVED,enum value,-,Seen/observed; silhouette and basic note allowed.,UI / Codex,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
CODEX_RESEARCHED,enum value,-,Studied at research; functional tags and risks allowed.,UI / Codex,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
CODEX_SAMPLED,enum value,-,Sample/harvest obtained; basic drops allowed.,UI / Codex,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
CODEX_UNKNOWN,enum value,-,Not yet discovered.,UI / Codex,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
CodexDiscoveryState,enum,CODEX_UNKNOWN,Discovery state for codex entries (flora/fauna/lore).,UI / Codex,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDDurabilityBarEnabled,bool,true,Render durability bars under hotbar items and in held-item panel.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDDurabilityRedThreshold,float,0.15,Durability fraction where UI color shifts yellow to red.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDDurabilityYellowThreshold,float,0.35,Durability fraction where UI color shifts green to yellow.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDHotbarSlotCount,int,8,Number of hotbar slots rendered (5 to 10 recommended).,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDHotbarSlotMax,int,10,Upper bound for hotbar slot count (design constraint).,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDHotbarSlotMin,int,5,Lower bound for hotbar slot count (design constraint).,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDNoiseMeterEnabled,bool,true,Render player noise meter in bottom-left HUD cluster.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
HUDStanceIndicatorEnabled,bool,true,Render stance indicator (standing/crouch/prone) in bottom-left HUD cluster.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
MAP_DISCOVERY_PLAYER_ONLY,enum value,-,Map only updates from player exploration.,Game Tunables / World Map,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
MAP_DISCOVERY_PLAYER_PLUS_SCOUT,enum value,-,Map updates from player exploration plus scout report overlays.,Game Tunables / World Map,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
MapDiscoveryMode,enum,MAP_DISCOVERY_PLAYER_PLUS_SCOUT,Controls whether scout returns can update the cartography layer.,Game Tunables / World Map,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
MapExploreRevealRadiusMeters,float,30,Radius around player path that becomes explored on the map.,Game Tunables / World Map,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
MapScoutRevealRadiusMeters,float,60,Radius around scout path that becomes explored when their report is applied.,Game Tunables / World Map,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
STANCE_CROUCH,enum value,-,Crouching stance indicator.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
STANCE_PRONE,enum value,-,Prone stance indicator.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
STANCE_STANDING,enum value,-,Standing stance indicator.,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
StanceState,enum,STANCE_STANDING,Current player stance used by UI (standing/crouch/prone).,UI / HUD,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
StationQueueSlotCount,int,4,Queue slot count shown in station UI (per-station config override allowed).,UI / Stations,JIM_Consolidated_GDD_ALL_NONMATH_v0_1_1_UIUX_CH18.docx
BarkYieldPerMinExpected,unknown,,Example: BarkYieldPerMinExpected = 0.9,Data: RoleParams / Runtime: NPC SkillState,JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx
Base,scalar,,Example: Base=1.8/day,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
base,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Interloper_Moon_GDD_v0_5_Draft-1.docx
BaseAcc,unknown,,Example: BaseAcc = 0.65,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Items_and_Loo…"
BaseArmorPierce,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
BaseCalGain,unknown,,Example: BaseCalGain = 520,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseCarryLogs,scalar,2 logs,2 logs,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
BaseChance,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
BaseChopTimePerLogSeconds,scalar,45s (reduced by 4% per Woodcutting skill),45s (reduced by 4% per Woodcutting skill),Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
BaseDamage,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
BaseDefect,scalar,0.20 (crude),0.20 (crude),Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
BaseDetect,scalar,tunable; base per-second detection chance before modifiers,tunable; base per-second detection chance before modifiers,Runtime: Combat Systems / WeaponDefs,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Role_Syste… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
BaseDR,unknown,,Example: BaseDR = 0.08,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
BaseEmptySlotChance,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
BaseFatKg,unknown,,Example: BaseFatKg = 0.03,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseHideUnits,unknown,,Example: BaseHideUnits = 0.05,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseHP,unknown,,Example: BaseHP = 18,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx"
BaselineTime,float,,Optional baseline seconds for a recipe when not using CraftUnits (if used).,Recipes,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX
BaseMeatKg,unknown,,Example: BaseMeatKg = 0.25,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseMountCC,unknown,,DEPRECATED pre-v0.1 mounts spec. Use MountCarryCapacityKg / MountStaminaMax / MountPanicBase / BaseTameDays / BaseTrainDays as applicable.,Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseMountDrain,unknown,,Example: BaseMountDrain = 0.9,Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseMoveSpeed,unknown,,Example: BaseMoveSpeed = 4.2,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An…"
BaseNoise,unknown,,Example: BaseNoise = 0.15,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An…"
BasePanic,unknown,,Example: BasePanic = 0.22,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseRateOreUnitsPerMinute,scalar,0.25 (per ore node type; higher tiers may reduce base rate),0.25 (per ore node type; higher tiers may reduce base rate),Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
BaseRateStoneUnitsPerMinute,scalar,1.2,1.2,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
BaseRepairRate,float,,Base repair rate used by RepairClassDef (HP/sec or HP/min as specified in class).,Repair system (RepairClassDef),JIM_Buildables...v0_1_VARFIX
BaseRisk,scalar,,Meaning / Where Used: 0-100 composite risk score used by raid logic and vulnerability reporting. | Example: BaseRisk = 0.22,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_F… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
BaseSkillXP,scalar,50 (tunable; sets progression speed).,50 (tunable; sets progression speed).,Data: RoleParams / Runtime: NPC SkillState,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
BaseSlots,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
BaseSpoil,unknown,,Example: BaseSpoil = 18,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
BaseSpoilHours,unknown,,Example: BaseSpoilHours = 10,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An…"
BaseTameDays,float,,Baseline days to tame species at neutral conditions.,Taming,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
BaseTameRatePerDay,float,,Base tame progress gained per day before multipliers.,Taming,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
BaseThroughput,float,,CraftUnits per minute this station can process at baseline.,Stations: throughput,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX | JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1.docx
BaseTrainDays,float,,Baseline days to fully train species at neutral conditions.,Training,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
BaseTrainRatePerDay,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
BaseWaterGain,unknown,,Example: BaseWaterGain = 35,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
BaseYield,unknown,,Example: BaseYield = 3.0,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
Batch,int,,Batch size multiplier for crafting results.,DataTable: Recipes,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX
BatteryCase,scalar,,BaseSlots: 2 | SlotsMin: 1 | SlotsMax: 3 | BaseEmptySlotChance: 0.12,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
Behavior,scalar,,Example: Behavior = Prey_Swarm,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx"
BehaviorFamily,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
BiomeTags,unknown,,"Example: BiomeTags = { BasaltShelf, MeltlineEdges }",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx"
BleedoutSeconds,scalar,180,180,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Blockers,scalar,,Example: Blockers = missing inputs,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
BlocksNavMesh,bool,,"If true, blocks traversal nav generation.",DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
BlueprintFragment,scalar,,"BaseChance: 0.10 | MinChance: 0.03 | MaxChance: 0.25 | Notes: EngineeringWreck, Manufacturing nodes; higher tiers bias more.",Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
BlueprintFragmentCost,int,,How many BlueprintFragment tokens are consumed to unlock a TechNode.,Game Tunables / Runtime State,JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1.docx
BreachSeverity,unknown,,Example: BreachSeverity = 0.40,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
Buff,scalar,,"Example: Buff=Clamp(1+0.02*Leadership+0.01*RoleSkill,1,1.35)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
BuildableDamageType,enum,,Damage channel used for resistance selection. | Notes: Melee | Ballistic | Explosive | Fire | Corrosive | Thermal | Electric.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
BuildableResistanceProfileId,ID (BRP_*),,Resistance multipliers per BuildableDamageType.,Directory: BuildableResistanceProfiles (BRP_*),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
BuildGridMeters,float,,Placement snap grid size in meters (global).,Placement system (global),JIM_Buildables...v0_1_VARFIX
BuildPermissionTag,string/set,,"Permissions gate for who can place/modify. | Notes: Implementation may be string, tag-set, or permission mask.",DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
BuildRecipeId,unknown,,RecipeId; required unless spawn-only,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
C_t,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
CalCook,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
CalmnessFactor,float,,Calmness multiplier derived from stressors and handling.,Taming/Training (derived),JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
CalNeed,unknown,,Example: CalNeed = 2200*(0.9+0.06*STA)*(1+0.15*WorkIntensityAvg),Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
CaloriesDrain,scalar,Base 4/hr + WorkMultiplier (1.0–2.2),Base 4/hr + WorkMultiplier (1.0–2.2),Game Tunables / Runtime State,"Jovian_Role_System_GDD_High_Level_v0_1-1.docx, Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
CalRaw,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
CampDaysMinMax,unknown,,"Example: CampDaysMinMax = [2, 5]",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An…"
CarryBonusPerStrength,scalar,+1 log per 3 Strength (floor(Strength/3)),+1 log per 3 Strength (floor(Strength/3)),Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
CarryCapacity,scalar,,Formula: CC = 20 + 6*STR | Notes: kg; influences hauling and encumbrance. | Example: CarryCapacity = 180,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
CarryCapacityLogs,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Case,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Category,,,enum,Game Tunables / Runtime State,JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
CaveMouthDeepVein,scalar,,ParagraphDef: ['ore access + ambush risk; often requires ACCESS_CLIMB or ACCESS_AIR.'],Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
CC,scalar,,Example: CC = 20 + 6*STR,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
Chance,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
