ItemId,Item,Category,Tier,Rarity,How to Obtain,Where to Find / Source,Crafted At,Recipe Unlocked By,Notes / Primary Use,Source Section,Referenced In
CMP_HEATSHRINK_SLEEVE,Heat-Shrink Sleeve,Component,0,Common,Crafted,Crafted at: Chem Bench,Chem Bench,Polymers,"Repair,Install",Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_TERMINAL_BLOCK | Recipe Input: RC_CMP_WIRE_COIL | Recipe Output: RC_CMP_HEATSHRINK_SLEEVE | Recipe Input: REC_019
CMP_HEATSINK_BLOCK,Heatsink Block,Component,2,Rare,Crafted,Crafted at: Machine Bench,Machine Bench,Thermal,"Install,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_HEATSINK_BLOCK | Research Supply Cost: Tools | Research Supply Cost: Armor | Research Supply Cost: Muzzle | Research Supply Cost: Magazines | Research Supply Cost: Wpn Smg | Research Supply Cost: Wpn Carbine | Research Supply Cost: Wpn Dmr | Build Cost: Kiln Furnace | Build Cost: Armory Bench | Build Cost: Remnant Printer | Build Cost: Thermal Tap
CMP_HINGE_PAIR,Hinge Pair,Component,1,Common,Crafted,Crafted at: Machine Bench,Machine Bench,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_HINGE_PAIR | Recipe Input: RC_WPN_PUMP_SHOTGUN
CMP_HOSE_CLAMP,Hose Clamp,Component,0,Common,Crafted,Crafted at: Anvil Forge,Anvil Forge,—,"Repair,Install",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_HOSE_CLAMP
CMP_HOSE_SECTION,Hose Section,Component,0,Common,Crafted,Crafted at: Anvil Forge,Anvil Forge,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_HOSE_SECTION
CMP_INSULATION_BAT,Insulation Bat,Component,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Build,Install",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_INSULATION_BAT | Recipe Input: RC_EQP_COMPOSITE_VEST | Recipe Input: RC_ATT_STOCK_PAD
CMP_LATCH_ASSEMBLY,Latch Assembly,Component,1,Common,Crafted,Crafted at: Machine Bench,Machine Bench,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_LATCH_ASSEMBLY | Recipe Input: RC_WPN_PUMP_SHOTGUN
CMP_LEATHER_ROLL,Leather Roll,Component,2,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,Build,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_LEATHER_ROLL
CMP_LENS_BLANK,Lens Blank,Component,2,Rare,Crafted,Crafted at: Grinder,Grinder,—,Install,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_LENS_BLANK | Recipe Input: RC_CMP_OPTIC_LENS | Recipe Input: REC_020 | Research Supply Cost: Optics | Research Supply Cost: Optics | Research Supply Cost: Optics
CMP_NEEDLE_PACK,Needle Pack,Component,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Use",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_NEEDLE_PACK | Recipe Input: RC_EQP_SEWING_KIT
CMP_O_RING_KIT,O-Ring Kit,Component,0,Common,Crafted,Crafted at: Chem Bench,Chem Bench,Seals,"Repair,Install",Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_GLASS_SEAL | Recipe Output: RC_CMP_O_RING_KIT | Recipe Input: REC_020
CMP_OPTIC_LENS,Optic Lens,Component,3,Rare,Crafted,Crafted at: Electronics Bench,Electronics Bench,—,"Build,Install",Field Manual Table 24 - Component Compendium,Recipe Input: RC_WPN_DMR | Recipe Input: RC_ATT_4X_SCOPE | Recipe Input: RC_ATT_RED_DOT | Recipe Output: RC_CMP_OPTIC_LENS | Recipe Input: RC_WPN_BOLT_SNIPER | Recipe Input: REC_016 | Recipe Input: REC_019
CMP_PIPE_SECTION,Pipe Section,Component,1,Common,Crafted,Crafted at: Anvil Forge,Anvil Forge,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_EQP_WATER_FILTER | Recipe Output: RC_CMP_PIPE_SECTION | Recipe Input: RC_WPN_CARBINE | Recipe Input: RC_WPN_DMR | Recipe Input: RC_WPN_SMG_COMPACT | Recipe Input: REC_005 | Recipe Input: RC_ATT_SUPPRESSOR
CMP_PLATE_PANEL,Plate Panel,Component,2,Common,Crafted,Crafted at: Anvil Forge,Anvil Forge,Metalwork,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_PLATE_PANEL | Recipe Input: RC_CMP_ARMOR_PLATE_INSERT | Recipe Input: REC_003 | Recipe Input: REC_008 | Research Supply Cost: Metalwork | Research Supply Cost: Machining | Research Supply Cost: Electronics | Research Supply Cost: Powergrid | Research Supply Cost: Tools | Research Supply Cost: Tools | Research Supply Cost: Armor | Research Supply Cost: Armor | ...
CMP_RIVET_SET,Rivet Set,Component,0,Common,Crafted,Crafted at: Anvil Forge,Anvil Forge,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_RIVET_SET | Recipe Input: RC_CMP_ARMOR_PLATE_INSERT | Recipe Input: REC_003 | Recipe Input: REC_008 | Recipe Input: RC_ATT_EXT_MAG
CMP_SAFETY_WIRE_SPOOL,Safety Wire Spool,Component,1,Uncommon,Crafted,Crafted at: Electronics Bench,Electronics Bench,—,"Repair,Install",Field Manual Table 24 - Component Compendium,Recipe Input: REC_007 | Recipe Output: RC_CMP_SAFETY_WIRE_SPOOL
CMP_SCREW_SET,Screw Set,Component,0,Common,Crafted,Crafted at: Anvil Forge,Anvil Forge,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_ATT_VERTICAL_GRIP | Recipe Input: RC_EQP_MULTI_TOOL | Recipe Output: RC_CMP_SCREW_SET | Recipe Input: RC_CMP_BEARING_SET | Recipe Input: RC_CMP_BRACKET_SET | Recipe Input: RC_CMP_GEAR_SET | Recipe Input: RC_CMP_HINGE_PAIR | Recipe Input: RC_CMP_LATCH_ASSEMBLY | Recipe Input: RC_CMP_SPRING_COIL | Recipe Input: RC_CMP_VALVE_CORE | Recipe Input: RC_EQP_HATCHET_T1 | Recipe Input: RC_EQP_HATCHET_T3 | ...
CMP_SEALANT_TUBE,Sealant Tube,Component,1,Uncommon,Crafted,Crafted at: Chem Bench,Chem Bench,Chemistry,Repair,Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_GLASS_SEAL | Recipe Output: RC_CMP_SEALANT_TUBE | Recipe Input: REC_020 | Research Supply Cost: Chemistry | Research Supply Cost: Polymers | Research Supply Cost: Tanning | Research Supply Cost: Machining | Research Supply Cost: Electronics | Research Supply Cost: Powergrid | Research Supply Cost: Tools | Research Supply Cost: Armor | Research Supply Cost: Thermal | ...
CMP_SOLDER_WIRE,Solder Wire Spool,Component,2,Rare,Crafted,Crafted at: Anvil Forge,Anvil Forge,Electronics,Repair,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_SOLDER_WIRE | Recipe Input: RC_CMP_CAPACITOR_BANK | Recipe Input: RC_CMP_CIRCUIT_BOARD | Recipe Input: RC_CMP_FUSE_PACK | Recipe Input: RC_CMP_SAFETY_WIRE_SPOOL | Research Supply Cost: Tools | Research Supply Cost: Armor | Research Supply Cost: Optics | Research Supply Cost: Optics | Research Supply Cost: Optics | Research Supply Cost: Muzzle | Research Supply Cost: Magazines | ...
CMP_SPRING_COIL,Spring Coil,Component,1,Common,Crafted,Crafted at: Machine Bench,Machine Bench,—,Repair,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_SPRING_COIL | Recipe Input: RC_WPN_CARBINE | Recipe Input: RC_WPN_DMR | Recipe Input: RC_WPN_SMG_COMPACT | Recipe Input: REC_006 | Recipe Input: REC_007 | Recipe Input: REC_008 | Recipe Input: RC_ATT_EXT_MAG
CMP_TANNING_SALTS,Tanning Salts,Component,1,Uncommon,Crafted,Crafted at: Chem Bench,Chem Bench,Tanning,Use,Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_LEATHER_ROLL | Recipe Output: RC_CMP_TANNING_SALTS
CMP_TERMINAL_BLOCK,Terminal Block,Component,1,Uncommon,Crafted,Crafted at: Machine Bench,Machine Bench,Electronics,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_TERMINAL_BLOCK | Recipe Input: RC_ATT_RED_DOT | Research Supply Cost: Machining | Research Supply Cost: Electronics | Research Supply Cost: Powergrid | Research Supply Cost: Tools | Research Supply Cost: Armor | Research Supply Cost: Grip | Build Cost: Machine Bench | Build Cost: Solar Array
CMP_THERMAL_LINER,Thermal Liner,Component,2,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_THERMAL_LINER | Recipe Input: RC_EQP_THERMAL_UNDERLAYER
CMP_THREAD_SPOOL,Thread Spool,Component,1,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_THREAD_SPOOL | Recipe Input: RC_EQP_FIELD_JACKET | Recipe Input: RC_EQP_SEWING_KIT
CMP_VALVE_CORE,Valve Core,Component,2,Rare,Crafted,Crafted at: Machine Bench,Machine Bench,—,Repair,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_VALVE_CORE | Build Cost: Machine Bench | Build Cost: Polymer Vat | Build Cost: Wind Spire | Build Cost: Thermal Tap
CMP_WAXED_THREAD_SPOOL,Waxed Thread Spool,Component,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Build",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_WAXED_THREAD_SPOOL | Recipe Input: RC_EQP_THERMAL_UNDERLAYER
CMP_WIRE_COIL,Wire Coil,Component,2,Uncommon,Crafted,Crafted at: Machine Bench,Machine Bench,Electronics,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_EQP_MULTI_TOOL | Recipe Output: RC_CMP_WIRE_COIL | Recipe Input: RC_WPN_SMG_COMPACT | Recipe Input: RC_CON_BATTERY_CELL | Recipe Input: REC_014 | Recipe Input: REC_019 | Build Cost: Wind Spire
CMP_WIRE_SLEEVE,Wire Sleeve,Component,0,Common,Crafted,Crafted at: Chem Bench,Chem Bench,Electronics,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_WIRE_COIL | Recipe Output: RC_CMP_WIRE_SLEEVE
CMP_ZIPPER_KIT,Zipper Kit,Component,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Build",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_ZIPPER_KIT | Recipe Input: RC_EQP_FIELD_JACKET
CON_ABRASIVE_GRIT_BAG,Abrasive Grit Bag,Consumable,0,Common,Crafted,Crafted at: Grinder,Grinder,—,"Clean,Process",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_CMP_PLATE_PANEL | Recipe Input: REC_004 | Recipe Output: RC_CON_ABRASIVE_GRIT_BAG | Recipe Input: RC_CMP_CONTACT_PIN_SET
CON_ABRASIVE_PAD,Abrasive Pad,Consumable,0,Common,Crafted,Crafted at: Grinder,Grinder,—,"Clean,Repair",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_CMP_SOLDER_WIRE | Recipe Input: REC_010 | Recipe Input: REC_011 | Recipe Input: REC_012 | Recipe Input: RC_CMP_GLASS_FIBER_SPOOL | Recipe Input: RC_CMP_GLASS_VIAL | Recipe Input: RC_CMP_LENS_BLANK | Recipe Output: RC_CON_ABRASIVE_PAD | Recipe Input: RC_CMP_HEATSINK_BLOCK | Recipe Input: REC_005 | Recipe Input: REC_009 | Recipe Input: RC_ATT_COMPENSATOR
CON_BATTERY_CELL,Battery Cell,Consumable,2,Uncommon,Crafted,Crafted at: Electronics Bench,Electronics Bench,—,"Fuel,Install",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_BATTERY_CELL
CON_CLOTH_WIPES_BUNDLE,Cloth Wipes Bundle,Consumable,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,Field Kit,"Clean,Use",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_CLOTH_WIPES_BUNDLE
CON_CONTACT_CLEANER_CAN,Contact Cleaner Can,Consumable,2,Rare,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Clean,Repair",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_CONTACT_CLEANER_CAN | Research Supply Cost: Chemistry | Research Supply Cost: Thermal | Build Cost: Chem Bench
CON_DEGREASER_SPRAY,Degreaser Spray,Consumable,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Clean,Use",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_DEGREASER_SPRAY | Recipe Input: RC_CMP_CONTACT_PIN_SET | Recipe Input: RC_CMP_HEATSINK_BLOCK | Recipe Input: REC_003 | Recipe Input: REC_007
CON_FIBER_TAPE_ROLL,Fiber Tape Roll,Consumable,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Seal",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_FIBER_TAPE_ROLL
CON_FILTER_INSERT,Filter Insert,Consumable,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Install,Use",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_FILTER_INSERT | Recipe Input: RC_EQP_RESPIRATOR
CON_FILTER_MEMBRANE,Filter Membrane,Consumable,2,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Build,Consume",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_CON_FILTER_INSERT | Recipe Output: RC_CON_FILTER_MEMBRANE | Recipe Input: RC_CON_FILTER_MEMBRANE | Recipe Input: RC_CON_FILTER_PELLETS_POUCH | Recipe Input: RC_EQP_WATER_FILTER
CON_FILTER_PELLETS_POUCH,Filter Pellets Pouch,Consumable,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Use,Install",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_CON_FILTER_INSERT | Recipe Input: RC_CON_FILTER_MEMBRANE | Recipe Output: RC_CON_FILTER_PELLETS_POUCH | Recipe Input: RC_CON_FILTER_PELLETS_POUCH | Recipe Input: RC_EQP_WATER_FILTER
CON_FUSE_LINK,Fuse Link,Consumable,0,Common,Crafted,Crafted at: Electronics Bench,Electronics Bench,—,"Repair,Install",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_FUSE_LINK
CON_LUBE_PACKET,Lube Packet,Consumable,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Use",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_ATT_VERTICAL_GRIP | Recipe Output: RC_CON_LUBE_PACKET | Recipe Input: RC_EQP_MULTI_TOOL | Recipe Input: RC_CMP_PLATE_PANEL | Recipe Input: REC_010 | Recipe Input: RC_CMP_WIRE_COIL | Recipe Input: RC_EQP_HATCHET_T1 | Recipe Input: RC_EQP_PICKAXE_T1 | Recipe Input: REC_006 | Recipe Input: REC_009 | Recipe Input: RC_ATT_EXT_MAG | Research Supply Cost: Armory | ...
CON_LUBE_TUBE,Lubricant Tube,Consumable,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Use",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_LUBE_TUBE | Recipe Input: REC_011 | Recipe Input: REC_012 | Recipe Input: RC_CMP_BEARING_SET | Recipe Input: RC_CMP_BRACKET_SET | Recipe Input: RC_CMP_GEAR_SET | Recipe Input: RC_CMP_HINGE_PAIR | Recipe Input: RC_CMP_LATCH_ASSEMBLY | Recipe Input: RC_CMP_SPRING_COIL | Recipe Input: RC_CMP_VALVE_CORE | Recipe Input: RC_WPN_CARBINE | Recipe Input: RC_WPN_DMR | ...
CON_PATCH_STRIP,Patch Strip,Consumable,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Use",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_PATCH_STRIP
CON_POLISH_PASTE,Polish Paste,Consumable,0,Common,Crafted,Crafted at: Grinder,Grinder,—,"Clean,Use",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_CMP_GASKET_CUTOUT_SET | Recipe Input: RC_CMP_GLASS_FIBER_SPOOL | Recipe Input: RC_CMP_GLASS_VIAL | Recipe Input: RC_CMP_LENS_BLANK | Recipe Output: RC_CON_POLISH_PASTE | Recipe Input: RC_EQP_HATCHET_T3 | Recipe Input: RC_EQP_HATCHET_T3 | Recipe Input: RC_EQP_PICKAXE_T3 | Recipe Input: RC_EQP_PICKAXE_T3 | Recipe Input: RC_ATT_4X_SCOPE | Recipe Input: RC_CMP_OPTIC_LENS | Recipe Input: REC_016 | ...
CON_SEAL_TAPE_ROLL,Seal Tape Roll,Consumable,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Seal",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_CMP_CONNECTOR_HOUSING | Recipe Input: RC_CMP_GASKET_RING | Recipe Input: RC_CON_CLOTH_WIPES_BUNDLE | Recipe Output: RC_CON_SEAL_TAPE_ROLL | Recipe Input: RC_CMP_HOSE_CLAMP | Recipe Input: RC_CMP_HOSE_SECTION | Recipe Input: RC_CMP_PIPE_SECTION | Recipe Input: REC_008 | Recipe Input: RC_CMP_O_RING_KIT | Recipe Input: RC_ATT_EXT_MAG | Recipe Input: RC_ATT_STOCK_PAD | Recipe Input: RC_ATT_SUPPRESSOR | ...
CON_SOLVENT_BOTTLE,Solvent Bottle,Consumable,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Clean,Process",Field Manual Table 25 - Consumable Compendium,Recipe Input: RC_CON_CLOTH_WIPES_BUNDLE | Recipe Output: RC_CON_SOLVENT_BOTTLE | Recipe Input: RC_MAT_MORTAR_PASTE | Recipe Input: RC_CMP_CABLE_TIE_BUNDLE | Recipe Input: RC_CMP_GASKET_SHEET | Recipe Input: RC_CMP_HEATSHRINK_SLEEVE | Recipe Input: RC_CMP_O_RING_KIT | Recipe Input: RC_CMP_WIRE_SLEEVE | Recipe Input: REC_001 | Recipe Input: REC_013
CON_THREADLOCK_VIAL,Threadlock Vial,Consumable,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Use",Field Manual Table 25 - Consumable Compendium,Recipe Output: RC_CON_THREADLOCK_VIAL | Recipe Input: RC_EQP_HATCHET_T2 | Recipe Input: RC_EQP_HATCHET_T2 | Recipe Input: RC_EQP_PICKAXE_T2 | Recipe Input: RC_EQP_PICKAXE_T2 | Recipe Input: REC_003 | Recipe Input: REC_006 | Recipe Input: REC_007 | Recipe Input: RC_ATT_SUPPRESSOR | Recipe Input: RC_WPN_BOLT_SNIPER | Recipe Input: RC_WPN_SERVICE_PISTOL | Recipe Input: REC_021
EQP_COMPOSITE_VEST,Composite Vest,Equipment,4,Rare,Crafted,Crafted at: Machine Bench,Machine Bench,Armor,Equip,Field Manual Table 27 - Equipment Compendium,Recipe Output: RC_EQP_COMPOSITE_VEST
